"";"id";"parent.id";"acronym";"name";"hex";"level";"branches";"hemisphere";"new.id"
"7";184;315;"FRP";"Frontal pole, cerebral cortex";"268F45";8;"184,68,667,526157192,526157196,526322264";"left";1
"13";500;315;"MO";"Somatomotor areas";"1F9D5A";6;"500,107,219,299,644,947,985,993,320,943,648,844,882,656,962,767,1021,1085";"left";2
"45";353;322;"SSp-n";"Primary somatosensory area, nose";"188064";9;"353,558,838,654,702,889,929";"left";3
"52";329;322;"SSp-bfd";"Primary somatosensory area, barrel field";"188064";9;"329,981,201,1047,1070,1038,1062,480149202,480149206,480149210,480149214,480149218,480149222,480149226";"left";4
"66";337;322;"SSp-ll";"Primary somatosensory area, lower limb";"188064";9;"337,1030,113,1094,1128,478,510";"left";5
"73";345;322;"SSp-m";"Primary somatosensory area, mouth";"188064";9;"345,878,657,950,974,1102,2";"left";6
"80";369;322;"SSp-ul";"Primary somatosensory area, upper limb";"188064";9;"369,450,854,577,625,945,1026";"left";7
"87";361;322;"SSp-tr";"Primary somatosensory area, trunk";"188064";9;"361,1006,670,1086,1111,9,461";"left";8
"94";182305689;322;"SSp-un";"Primary somatosensory area, unassigned";"188064";9;"182305689,182305693,182305697,182305701,182305705,182305709,182305713";"left";9
"101";378;453;"SSs";"Supplemental somatosensory area";"188064";8;"378,873,806,1035,1090,862,893";"left";10
"108";1057;315;"GU";"Gustatory areas";"009C75";6;"1057,36,180,148,187,638,662";"left";11
"115";677;315;"VISC";"Visceral area";"11AD83";8;"677,897,1106,1010,1058,857,849";"left";12
"122";247;315;"AUD";"Auditory areas";"019399";6;"247,1011,1002,1027,1018,527,600,678,252,156,243,480149230,735,251,816,847,954,1005,696,643,759,791,249,456,959,755,990,1023,520,598,480149234,480149238,480149242,480149246,480149250,480149254";"left";13
"158";669;315;"VIS";"Visual areas";"08858C";6;"669,801,561,913,937,457,497,402,394,409,385,425,533,312782574,312782628,1074,905,1114,233,601,649,281,1066,401,433,1046,441,421,973,573,613,74,121,593,821,721,778,33,305,750,269,869,902,377,393,805,41,501,565,257,469,312782578,312782582,312782586,312782590,312782594,312782598,312782632,312782636,312782640,312782644,312782648,312782652";"left";14
